feed_ts,feed_date,capture_ts,elapsed_s,symbol,spot,contracts_kept,net_gex_window,flip,flip_pct_vs_spot,call_wall,put_wall,regime,atm_iv_30,atm_iv_60,term_slope,rr25,skew_state,session_call_volume,session_put_volume,session_pc_volume,dte_window,strike_window,schema_version
2026-09-16 12:43:19,2026-09-16,2026-09-16T13:14:12+00:00,58665.0,IWM,285.72,2360,-4082400801.34,296.4894,0.037692,300.0,280.0,negative,0.18865,0.19655,0.0079,-0.0554,STEEP,232263.0,712639.0,3.0682,45,0.15,1
2026-09-23 03:56:05,2026-09-23,2026-09-23T13:14:15+00:00,58700.0,SPX,7764.6401,10922,67520214116.66,7693.1768,-0.009204,7900.0,7500.0,positive,0.1178,0.132,0.0142,-0.0277,STEEP,450169.0,568746.0,1.2634,45,0.15,1
2026-09-23 03:54:59,2026-09-23,2026-09-23T13:14:15+00:00,58700.0,SPY,773.38,3592,4522413747.21,770.3276,-0.003947,785.0,761.0,positive,0.11755,0.1317,0.01415,-0.0291,STEEP,1401886.0,1409359.0,1.0053,45,0.15,1
2026-09-23 03:56:14,2026-09-23,2026-09-23T13:14:15+00:00,58700.0,QQQ,748.32,3698,4486578677.18,734.4412,-0.018547,760.0,700.0,positive,0.17685,0.1957,0.01885,-0.033,STEEP,1198387.0,1304600.0,1.0886,45,0.15,1
2026-09-23 03:35:33,2026-09-23,2026-09-23T13:14:15+00:00,58700.0,IWM,287.21,2082,-1804306370.04,292.463,0.01829,293.0,280.0,negative,0.1696,0.185,0.0154,-0.0283,STEEP,442071.0,456713.0,1.0331,45,0.15,1
