ts,symbol,spot,spot_prev,ret,dvol_c,dvol_p,ntd_c,ntd_p,prem_c,prem_p,wiv_atm_c,wiv_atm_p,atm_dvol_c,atm_dvol_p,gex,n_contracts
2026-09-07T10:00:00-04:00,_SPX,7718.6001,7718.6001,0.0,500.0,591.0,14743.16,-18016.370000000003,658570.0,1768687.5,0.001399,0.000933,479.0,511.0,35390565895.84,141
2026-09-07T10:45:00-04:00,_SPX,7718.6001,7718.6001,0.0,2150.0,1751.0,64201.240000000005,-52909.850000000006,3472415.0,3418532.5,0.000792,-0.000421,2144.0,1491.0,30836409020.84,233
2026-09-07T11:00:00-04:00,_SPX,7718.6001,7718.6001,0.0,5037.0,1129.0,61196.35999999999,-33682.62,4099620.0,2768425.0,0.000446,0.000782,1600.0,1033.0,29905569377.52,239
2026-09-07T11:15:00-04:00,_SPX,7718.6001,7718.6001,0.0,800.0,619.0,21258.320000000003,-15774.910000000002,748330.0,670267.5,0.000578,-0.00035,798.0,459.0,25855616812.84,160
2026-09-07T11:30:00-04:00,_SPX,7718.6001,7718.6001,0.0,952.0,657.0,25122.61,-18096.359999999997,986715.0,1353375.0,0.001105,0.001389,924.0,615.0,25624905703.24,144
2026-09-07T11:45:00-04:00,_SPX,7718.6001,7718.6001,0.0,693.0,481.0,19475.890000000003,-11661.36,717595.0,494232.5,0.001481,0.000408,693.0,448.0,25407831720.29,111
2026-09-07T12:00:00-04:00,_SPX,7718.6001,7718.6001,0.0,561.0,747.0,20048.87,-14817.48,3091512.5,556702.5,0.011327,-0.016061,555.0,516.0,19125626293.02,140
